Recording,Result
A0001,5
A0002,1
A0003,2
A0004,2
A0005,7
A0006,5
A0007,2
A0008,8
A0009,2
A0010,5
A0011,4
A0012,7
A0013,8
A0014,8
A0015,5
A0016,1
A0017,2
A0018,4
A0019,2
A0020,1
A0021,1
A0022,5
A0023,2
A0024,7
A0025,7
A0026,5
A0027,5
A0028,5
A0029,1
A0030,1
A0031,7
A0032,1
A0033,8
A0034,9
A0035,5
A0036,9
A0037,1
A0038,1
A0039,3
A0040,8
A0041,1
A0042,5
A0043,5
A0044,4
A0045,1
A0046,9
A0047,1
A0048,8
A0049,8
A0050,7
A0051,5
A0052,7
A0053,5
A0054,1
A0055,6
A0056,8
A0057,4
A0058,1
A0059,1
A0060,8
A0061,2
A0062,1
A0063,9
A0064,2
A0065,2
A0066,5
A0067,8
A0068,5
A0069,5
A0070,3
A0071,2
A0072,9
A0073,1
A0074,4
A0075,1
A0076,8
A0077,8
A0078,5
A0079,2
A0080,6
A0081,4
A0082,4
A0083,6
A0084,6
A0085,5
A0086,2
A0087,5
A0088,8
A0089,1
A0090,8
A0091,1
A0092,8
A0093,4
A0094,1
A0095,5
A0096,5
A0097,6
A0098,1
A0099,7
A0100,8
A0101,6
A0102,3
A0103,1
A0104,3
A0105,7
A0106,2
A0107,1
A0108,1
A0109,2
A0110,8
A0111,8
A0112,5
A0113,6
A0114,5
A0115,6
A0116,5
A0117,2
A0118,3
A0119,5
A0120,1
A0121,2
A0122,2
A0123,6
A0124,6
A0125,8
A0126,2
A0127,1
A0128,8
A0129,7
A0130,7
A0131,4
A0132,3
A0133,1
A0134,5
A0135,5
A0136,1
A0137,7
A0138,5
A0139,1
A0140,8
A0141,8
A0142,5
A0143,1
A0144,7
A0145,2
A0146,7
A0147,9
A0148,8
A0149,1
A0150,2
A0151,5
A0152,5
A0153,2
A0154,8
A0155,5
A0156,7
A0157,1
A0158,7
A0159,1
A0160,5
A0161,5
A0162,7
A0163,5
A0164,1
A0165,8
A0166,1
A0167,6
A0168,5
A0169,5
A0170,1
A0171,5
A0172,3
A0173,1
A0174,7
A0175,1
A0176,1
A0177,1
A0178,5
A0179,1
A0180,8
A0181,5
A0182,4
A0183,5
A0184,2
A0185,8
A0186,2
A0187,1
A0188,3
A0189,3
A0190,1
A0191,8
A0192,1
A0193,1
A0194,8
A0195,8
A0196,8
A0197,6
A0198,2
A0199,5
A0200,5
A0201,8
A0202,7
A0203,2
A0204,7
A0205,4
A0206,1
A0207,5
A0208,1
A0209,5
A0210,1
A0211,5
A0212,3
A0213,2
A0214,7
A0215,5
A0216,5
A0217,2
A0218,6
A0219,5
A0220,2
A0221,1
A0222,2
A0223,3
A0224,5
A0225,5
A0226,5
A0227,6
A0228,5
A0229,8
A0230,5
A0231,2
A0232,8
A0233,1
A0234,8
A0235,5
A0236,3
A0237,8
A0238,8
A0239,3
A0240,3
A0241,1
A0242,5
A0243,4
A0244,4
A0245,7
A0246,3
A0247,2
A0248,3
A0249,5
A0250,5
A0251,5
A0252,1
A0253,4
A0254,1
A0255,5
A0256,1
A0257,2
A0258,5
A0259,5
A0260,2
A0261,5
A0262,9
A0263,3
A0264,8
A0265,1
A0266,5
A0267,2
A0268,5
A0269,7
A0270,6
A0271,2
A0272,2
A0273,5
A0274,2
A0275,9
A0276,2
A0277,8
A0278,8
A0279,2
A0280,3
A0281,1
A0282,8
A0283,1
A0284,3
A0285,1
A0286,5
A0287,1
A0288,3
A0289,8
A0290,2
A0291,4
A0292,3
A0293,5
A0294,5
A0295,8
A0296,5
A0297,8
A0298,5
A0299,1
A0300,5
